dataset_seq,per_class_seq,slice_file_name,fsID,start,end,salience,fold,classID,class
0,0,127873-0-0-0.wav,127873,0,2.04075,1,1,0,air_conditioner
1,1,134717-0-0-0.wav,134717,0,4,1,1,0,air_conditioner
2,2,134717-0-0-1.wav,134717,0.5,4.5,1,1,0,air_conditioner
3,3,134717-0-0-12.wav,134717,6,10,1,1,0,air_conditioner
4,4,134717-0-0-13.wav,134717,6.5,10.5,1,1,0,air_conditioner
5,5,134717-0-0-14.wav,134717,7,11,1,1,0,air_conditioner
6,6,134717-0-0-15.wav,134717,7.5,11.5,1,1,0,air_conditioner
7,7,134717-0-0-16.wav,134717,8,12,1,1,0,air_conditioner
8,8,134717-0-0-18.wav,134717,9,13,1,1,0,air_conditioner
9,9,134717-0-0-19.wav,134717,9.5,13.5,1,1,0,air_conditioner
10,10,134717-0-0-2.wav,134717,1,5,1,1,0,air_conditioner
11,11,134717-0-0-20.wav,134717,10,14,1,1,0,air_conditioner
12,12,134717-0-0-21.wav,134717,10.5,14.5,1,1,0,air_conditioner
13,13,134717-0-0-22.wav,134717,11,15,1,1,0,air_conditioner
14,14,134717-0-0-23.wav,134717,11.5,15.5,1,1,0,air_conditioner
15,15,134717-0-0-24.wav,134717,12,16,1,1,0,air_conditioner
16,16,134717-0-0-25.wav,134717,12.5,16.5,1,1,0,air_conditioner
17,17,134717-0-0-26.wav,134717,13,17,1,1,0,air_conditioner
18,18,134717-0-0-27.wav,134717,13.5,17.5,1,1,0,air_conditioner
19,19,134717-0-0-28.wav,134717,14,18,1,1,0,air_conditioner
20,20,134717-0-0-4.wav,134717,2,6,1,1,0,air_conditioner
21,21,134717-0-0-5.wav,134717,2.5,6.5,1,1,0,air_conditioner
22,22,134717-0-0-6.wav,134717,3,7,1,1,0,air_conditioner
23,23,134717-0-0-7.wav,134717,3.5,7.5,1,1,0,air_conditioner
24,24,134717-0-0-8.wav,134717,4,8,1,1,0,air_conditioner
25,25,134717-0-0-9.wav,134717,4.5,8.5,1,1,0,air_conditioner
26,26,151977-0-0-0.wav,151977,0.466587,4.466587,1,1,0,air_conditioner
27,27,151977-0-0-1.wav,151977,0.966587,4.966587,1,1,0,air_conditioner
28,28,151977-0-0-10.wav,151977,5.466587,9.466587,1,1,0,air_conditioner
29,29,151977-0-0-11.wav,151977,5.966587,9.966587,1,1,0,air_conditioner
30,30,151977-0-0-12.wav,151977,6.466587,10.466587,1,1,0,air_conditioner
31,31,151977-0-0-13.wav,151977,6.966587,10.966587,1,1,0,air_conditioner
32,32,151977-0-0-2.wav,151977,1.466587,5.466587,1,1,0,air_conditioner
33,33,151977-0-0-3.wav,151977,1.966587,5.966587,1,1,0,air_conditioner
34,34,151977-0-0-4.wav,151977,2.466587,6.466587,1,1,0,air_conditioner
35,35,151977-0-0-5.wav,151977,2.966587,6.966587,1,1,0,air_conditioner
36,36,151977-0-0-6.wav,151977,3.466587,7.466587,1,1,0,air_conditioner
37,37,151977-0-0-7.wav,151977,3.966587,7.966587,1,1,0,air_conditioner
38,38,151977-0-0-8.wav,151977,4.466587,8.466587,1,1,0,air_conditioner
39,39,151977-0-0-9.wav,151977,4.966587,8.966587,1,1,0,air_conditioner
40,40,177621-0-0-0.wav,177621,0,4,2,1,0,air_conditioner
41,41,177621-0-0-100.wav,177621,50,54,2,1,0,air_conditioner
42,42,177621-0-0-104.wav,177621,52,56,2,1,0,air_conditioner
43,43,177621-0-0-105.wav,177621,52.5,56.5,2,1,0,air_conditioner
44,44,177621-0-0-109.wav,177621,54.5,58.5,2,1,0,air_conditioner
45,45,177621-0-0-117.wav,177621,58.5,62.5,2,1,0,air_conditioner
46,46,177621-0-0-120.wav,177621,60,64,2,1,0,air_conditioner
47,47,177621-0-0-126.wav,177621,63,67,2,1,0,air_conditioner
48,48,177621-0-0-127.wav,177621,63.5,67.5,2,1,0,air_conditioner
49,49,177621-0-0-128.wav,177621,64,68,2,1,0,air_conditioner
50,50,177621-0-0-145.wav,177621,72.5,76.5,2,1,0,air_conditioner
51,51,177621-0-0-147.wav,177621,73.5,77.5,2,1,0,air_conditioner
52,52,177621-0-0-2.wav,177621,1,5,2,1,0,air_conditioner
53,53,177621-0-0-27.wav,177621,13.5,17.5,2,1,0,air_conditioner
54,54,177621-0-0-31.wav,177621,15.5,19.5,2,1,0,air_conditioner
55,55,177621-0-0-35.wav,177621,17.5,21.5,2,1,0,air_conditioner
56,56,177621-0-0-46.wav,177621,23,27,2,1,0,air_conditioner
57,57,177621-0-0-47.wav,177621,23.5,27.5,2,1,0,air_conditioner
58,58,177621-0-0-48.wav,177621,24,28,2,1,0,air_conditioner
59,59,177621-0-0-54.wav,177621,27,31,2,1,0,air_conditioner
60,60,177621-0-0-57.wav,177621,28.5,32.5,2,1,0,air_conditioner
